0,1,1,0,A,0
0,2,1,0,A,0
0,1,1,0,S,0
3,1,1,0,F,0
3,2,1,0,S,0
5,3,0,0,A,0
6,2,1,0,F,0
6,1,1,0,S,0
8,1,1,0,F,0
8,3,0,0,S,0
10,1,2,0,A,0
10,4,0,0,A,0
11,3,0,0,F,0
11,2,1,0,S,0
14,2,1,0,F,0
14,1,2,0,S,0
17,1,2,0,F,0
17,4,0,0,S,0
20,1,3,0,A,0
20,2,2,0,A,0
20,4,0,0,F,0
20,3,0,0,S,0
23,3,0,0,F,0
23,2,1,0,S,0
26,2,1,0,F,0
26,1,2,0,S,0
28,1,2,0,F,0
28,1,3,0,S,0
30,1,4,0,A,0
31,1,3,0,F,0
31,2,2,0,S,0
33,2,1,0,D,0
34,2,2,0,F,0
34,4,0,0,S,0
37,4,0,0,F,0
37,3,0,0,S,0
40,1,5,0,A,0
40,2,3,0,A,0
40,3,0,0,F,0
40,2,1,0,S,0
41,2,1,0,F,0
41,1,4,0,S,0
44,1,4,0,F,0
44,1,3,0,S,0
46,1,3,0,F,0
46,2,2,0,S,0
49,2,2,0,F,0
49,4,0,0,S,0
50,1,1,0,D,0
